numero	nome_atual	grupo	equipamento	queixa_do_hugo	classe	nome_novo	status
296	Terra romeno com elástico	Posterior	Elástico	✅	OK		nada a fazer
297	Terra romeno com kettlebell	Posterior	Kettlebell	✅	OK		nada a fazer
298	Abdução com elástico deitado (clamshell)	Glúteos	Elástico	✅	OK		nada a fazer
299	Abdução de quadril deitado de lado	Glúteos	Peso corporal	✅	OK		nada a fazer
300	Abdução de quadril na máquina	Glúteos	Máquina	✅ (abdução de quadril na máquina abdutora)	OK+NOME	abdução de quadril na máquina abdutora	rename PENDENTE
301	Abdução de quadril na polia	Glúteos	Polia	movimento errado	VIDEO		vídeo na fila
302	Abdução em pé com elástico	Glúteos	Elástico	melhorar o movimento	VIDEO		vídeo na fila
303	Adução de quadril na polia	Glúteos	Polia	melhorar o movimento	VIDEO		vídeo na fila
304	Agachamento búlgaro com foco em glúteo	Glúteos	Halteres	agachamento búlgaro	NOME	agachamento búlgaro	rename PENDENTE
305	Agachamento com elástico nos joelhos	Glúteos	Elástico	✅	OK		nada a fazer
306	Agachamento sumô profundo	Glúteos	Halter	agachamento sumô com barra	NOME	agachamento sumô com barra	rename PENDENTE
307	Cadeira abdutora	Glúteos	Máquina	tirar	RETIRAR		podado no código (não deployado)
308	Cadeira adutora	Glúteos	Máquina	✅	OK		nada a fazer
309	Caminhada lateral com elástico	Glúteos	Elástico	deslocamento lateral com miniband - melhorar movimento	NOME+VIDEO	deslocamento lateral com miniband	vídeo na fila + rename PENDENTE
310	Chute de glúteo na polia (kickback)	Glúteos	Polia	tirar	RETIRAR		podado no código (não deployado)
311	Coice de glúteo com caneleira	Glúteos	Caneleira	glúteo coice com caneleira - colocar caneleira, colchonete e deixar os cotovelos flexionados	NOME+VIDEO	glúteo coice com caneleira	vídeo na fila + rename PENDENTE
312	Coice de glúteo com elástico	Glúteos	Elástico	tirar	RETIRAR		podado no código (não deployado)
313	Coice de glúteo na máquina	Glúteos	Máquina	tirar	RETIRAR		podado no código (não deployado)
314	Elevação de quadril (hip thrust)	Glúteos	Barra	✅ elevação pélvica com barra	OK+NOME	elevação pélvica com barra	rename PENDENTE
315	Elevação de quadril com elástico	Glúteos	Elástico	✅ elevação pélvica com elástico	OK+NOME	elevação pélvica com elástico	rename PENDENTE
316	Elevação de quadril com halter	Glúteos	Halter	retirar	RETIRAR		podado no código (não deployado)
317	Elevação de quadril com pés no banco	Glúteos	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
318	Elevação de quadril na máquina	Glúteos	Máquina	colocar a máquina certa	VIDEO		vídeo INSTALADO (17/09)
319	Elevação de quadril no smith	Glúteos	Smith	ajustar o banco	VIDEO		vídeo na fila
320	Elevação de quadril unilateral	Glúteos	Peso corporal	deixar as escapulas no banco	VIDEO		vídeo INSTALADO (17/09)
321	Extensão de quadril em quatro apoios	Glúteos	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
322	Fire hydrant	Glúteos	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
323	Frog pump	Glúteos	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
324	Glúteo no cabo (coice)	Glúteos	Polia	melhorar o movimento - inclinar o corpo e aumentar a flexão e extensão do quadril	VIDEO		vídeo na fila
325	Glúteo quatro apoios	Glúteos	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
326	Passada profunda para glúteo	Glúteos	Halteres	avanço com halteres	NOME	avanço com halteres	rename PENDENTE
327	Ponte de glúteo com barra	Glúteos	Barra	retirar	RETIRAR		podado no código (não deployado)
328	Ponte de glúteo com elevação alternada	Glúteos	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
329	Ponte de glúteo no solo	Glúteos	Peso corporal	elevação pélvica solo	NOME	elevação pélvica solo	rename PENDENTE + vídeo regerado sem o Hugo pedir (aprovado e instalado em 17/09)
330	Subida no step alta para glúteo	Glúteos	Halteres	subida no step com halter (colocar o pé completo no step)	NOME+VIDEO	subida no step com halter	vídeo na fila + rename PENDENTE
331	Panturrilha burro (donkey calf)	Panturrilha	Máquina	retirar	RETIRAR		podado no código (não deployado)
332	Panturrilha com pés para dentro	Panturrilha	Máquina	retirar	RETIRAR		podado no código (não deployado)
333	Panturrilha com pés para fora	Panturrilha	Máquina	retirar	RETIRAR		podado no código (não deployado)
334	Panturrilha em pé	Panturrilha	Máquina	retirar	RETIRAR		podado no código (não deployado)
335	Panturrilha em pé com halteres	Panturrilha	Halteres	✅	OK		nada a fazer
336	Panturrilha em pé na máquina	Panturrilha	Máquina	retirar	RETIRAR		podado no código (não deployado)
337	Panturrilha em pé no step	Panturrilha	Peso corporal	apoiar no espaldar	VIDEO		vídeo INSTALADO (17/09)
338	Panturrilha no leg press	Panturrilha	Máquina	corrigir o movimento	VIDEO		vídeo ENCERRADO (causa raiz: o nome)
339	Panturrilha no smith	Panturrilha	Smith	✅	OK		nada a fazer
340	Panturrilha sentado	Panturrilha	Máquina	retirar - máquina errada	RETIRAR		podado no código (não deployado)
341	Panturrilha sentado com anilha	Panturrilha	Anilha	retirar	RETIRAR		podado no código (não deployado)
342	Panturrilha sentado unilateral	Panturrilha	Máquina	retirar	RETIRAR		podado no código (não deployado)
343	Panturrilha unilateral com halter	Panturrilha	Halter	retirar	RETIRAR		podado no código (não deployado)
344	Panturrilha unilateral no leg press	Panturrilha	Máquina	corrigir o movimento	VIDEO		vídeo ENCERRADO (causa raiz: o nome)
345	Tibial anterior com elástico	Panturrilha	Elástico	retirar	RETIRAR		podado no código (não deployado)
346	Abdominal bicicleta	Core	Peso corporal	melhorar o movimento - esticar as pernas	VIDEO		vídeo INSTALADO (17/09)
347	Abdominal canivete	Core	Peso corporal	✅	OK		nada a fazer
348	Abdominal declinado	Core	Peso corporal	colocar o banco declinado de abdômen	VIDEO		vídeo INSTALADO (17/09)
349	Abdominal infra (elevação de pernas)	Core	Peso corporal	✅	OK		nada a fazer
350	Abdominal na máquina com carga	Core	Máquina	ajustar o erro da máquina - abdominal supra máquina	NOME+VIDEO	ajustar o erro da máquina	vídeo INSTALADO (17/09) + rename PENDENTE
351	Abdominal na polia alta (ajoelhado)	Core	Polia	tirar	RETIRAR		podado no código (não deployado)
352	Abdominal oblíquo	Core	Peso corporal	✅ abdominal oblíquo unilateral	OK+NOME	abdominal oblíquo unilateral	rename PENDENTE
353	Abdominal oblíquo na polia	Core	Polia	✅	OK		nada a fazer
354	Abdominal remador	Core	Peso corporal	melhorar o movimento - descer mais	VIDEO		vídeo INSTALADO (17/09)
355	Abdominal supra (crunch)	Core	Peso corporal	✅	OK		nada a fazer
356	Abdominal supra com pés apoiados	Core	Peso corporal	tirar	RETIRAR		podado no código (não deployado)
357	Abdominal V-up	Core	Peso corporal	✅	OK		nada a fazer
358	Bird dog	Core	Peso corporal	✅	OK		nada a fazer
359	Dead bug	Core	Peso corporal	melhorar o movimento	VIDEO		vídeo PARCIAL (candidato guardado)
360	Dragon flag	Core	Peso corporal	colocar encosto no banco para segurar	VIDEO		vídeo INSTALADO (17/09)
361	Elevação de joelhos suspenso	Core	Peso corporal	✅ abdominal infra suspenso flexionando as pernas (ajustar a mão na pegada barra)	OK+NOME	abdominal infra suspenso flexionando as pernas	rename PENDENTE + vídeo regerado embora já ✅ (aprovado e instalado em 17/09)
362	Elevação de pernas no banco	Core	Peso corporal	✅ abdominal infra no banco	OK+NOME	abdominal infra no banco	rename PENDENTE
363	Elevação de pernas suspenso na barra	Core	Peso corporal	✅ abdominal infra suspenso com pernas estendidas (ajustar a mão na pegada barra)	OK+NOME	abdominal infra suspenso com pernas estendidas	rename PENDENTE + vídeo regerado embora já ✅ (aprovado e instalado em 17/09)
364	Flexão lateral com halter	Core	Halter	✅	OK		nada a fazer
365	Hollow hold	Core	Peso corporal	melhorar postura - pernas mais baixas e braços atrás da cabeça	VIDEO		vídeo INSTALADO (17/09)
366	Hollow rock	Core	Peso corporal	corrigir o movimento - pernas e braços mais próximos do chão	VIDEO		vídeo INSTALADO (17/09)
367	L-sit nas paralelas	Core	Peso corporal	✅	OK		nada a fazer
368	L-sit no solo	Core	Peso corporal	ajustar a postura - mais no chão mantendo o corpo acima do solo em isometria	VIDEO		vídeo INSTALADO (17/09)
369	Limpador de para-brisa suspenso na barra	Core	Peso corporal	abdominal pára-brisa suspenso na barra - melhorar movimento - eleva as pernas durante o movimento	NOME+VIDEO	abdominal pára-brisa suspenso na barra	vídeo INSTALADO (17/09) + rename PENDENTE
370	Mountain climber lento	Core	Peso corporal	corrigir execução (pernas trocam de lugar)	VIDEO		vídeo INSTALADO (17/09)
371	Pallof press	Core	Polia	exercício errado, segura em isometria mantendo o cabo na lateral	VIDEO		vídeo na fila
372	Prancha abdominal	Core	Peso corporal	✅	OK		nada a fazer
373	Prancha alta	Core	Peso corporal	✅	OK		nada a fazer
374	Prancha com abertura de pernas na toalha	Core	Toalha	✅	OK		nada a fazer
375	Prancha com apoio dos antebraços	Core	Peso corporal	retirar	RETIRAR		podado no código (não deployado)
376	Prancha com deslizamento de braços na toalha	Core	Toalha	✅	OK		nada a fazer
377	Prancha com elevação de braço	Core	Peso corporal	✅	OK		nada a fazer
378	Prancha com elevação de perna	Core	Peso corporal	✅ mountain climber	OK+NOME	mountain climber	rename PENDENTE
379	Prancha com remada (renegade)	Core	Halteres	✅ renegade row	OK+NOME	renegade row	rename PENDENTE
380	Prancha com toque no ombro	Core	Peso corporal	✅	OK		nada a fazer
381	Prancha dinâmica (up-down)	Core	Peso corporal	corrigir o movimento	VIDEO		vídeo INSTALADO (17/09)
382	Prancha lateral com elevação de quadril	Core	Peso corporal	✅	OK		nada a fazer
383	Prancha lateral com rotação	Core	Peso corporal	✅	OK		nada a fazer
384	Roda abdominal (ab wheel)	Core	Equipamento	retirar	RETIRAR		podado no código (não deployado)
385	Roda abdominal ajoelhado	Core	Equipamento	corrigir o movimento	VIDEO		vídeo na fila
386	Rollout na barra	Core	Barra	corrigir o movimento	VIDEO		vídeo na fila
387	Rotação de tronco na polia (woodchop)	Core	Polia	retirar	RETIRAR		podado no código (não deployado)
388	Rotação russa (russian twist)	Core	Peso corporal	✅	OK		nada a fazer
389	Rotação russa com medicine ball	Core	Medicine ball	✅	OK		nada a fazer
390	Serra abdominal na toalha	Core	Toalha	retirar	RETIRAR		podado no código (não deployado)
391	Sit-up completo	Core	Peso corporal	✅ abdominal supra solo completo	OK+NOME	abdominal supra solo completo	rename PENDENTE
392	Toes to bar	Core	Peso corporal	✅ movimento do Crossfit - ajustar a pegada na barra	OK+NOME	movimento do Crossfit	rename PENDENTE + vídeo regerado embora já ✅ (aprovado e instalado em 17/09)
393	Agachamento com salto sobre a caixa	Funcional	Step	✅ box jump	OK+NOME	box jump	rename PENDENTE
394	Arremesso de medicine ball no solo	Funcional	Medicine ball	✅	OK		nada a fazer
395	Assault bike	Funcional	Bicicleta	✅ airbike	OK+NOME	airbike	rename PENDENTE
396	Battle rope com agachamento	Funcional	Corda	corda naval	NOME	corda naval	rename PENDENTE
397	Bear crawl	Funcional	Peso corporal	melhorar o movimento	VIDEO		vídeo INSTALADO (17/09)
398	Bicicleta ergométrica	Funcional	Bicicleta	trocar a bicicleta	VIDEO		vídeo na fila
399	Burpee com flexão	Funcional	Peso corporal	✅	OK		nada a fazer
400	Burpee com salto na caixa	Funcional	Step	✅ burpee box jump - movimento do Cross	OK+NOME	burpee box jump	rename PENDENTE
